Ruta;Origen;Destino;Estaciones de Parada
B46;San Mateo;Portal Norte;San Mateo, Terreros - Hospital CV, León XIII, La Despensa, Bosa, Portal Sur, General Santander, Ricaurte, Calle 26, Marly, Calle 72, Calle 100, Portal Norte.
B50;Portal Suba;Portal Norte;Portal Suba, La Campiña, Suba - TV 91, Suba - Av. Boyacá, 21 Ángeles, Gratamira, Niza 127, Shaio, Av. Suba - Calle 116, Humedal Córdoba, Puentelargo, Av. Suba - Calle 100, Calle 106, Pepe Sierra, Calle 127, Prado, Alcalá, Calle 142, Calle 146, Mazurén, Toberín, Portal Norte.
B55;Portal 80;Portal Norte;Portal 80, Granja - Cra 77, Av. 68, Escuela Militar, Héroes, Calle 100, Calle 127, Portal Norte.
B72;Portal Usme;Portal Norte;Portal Usme, Molinos, Consuelo, Socorro, Santa Lucía, Quiroga, Olaya, Fucha, Restrepo, Hortúa, Hospitales, Tercer Milenio, Av. Jiménez, Calle 19, Calle 22, Calle 26, Profamilia, Calle 39, Calle 45, Marly, Calle 57, Calle 63, Calle 72, Flores, Calle 76, Héroes, Calle 85, Virrey, Calle 100, Calle 106, Pepe Sierra, Calle 127, Prado, Alcalá, Calle 142, Calle 146, Mazurén, Toberín, Portal Norte.
B74;Portal 20 Julio;Portal Norte;Portal 20 de Julio, Av. 1 de Mayo, Ciudad Jardín, San Victorino, Las Nieves, Calle 19, Marly, Calle 57, Calle 63, Calle 72, Flores, Calle 76, Héroes, Calle 85, Virrey, Calle 100, Calle 106, Pepe Sierra, Calle 127, Prado, Alcalá, Calle 142, Calle 146, Mazurén, Toberín, Portal Norte.
B75;Portal Usme;Portal Norte;Portal Usme, Molinos, Socorro, Santa Lucía, Restrepo, Av. Jiménez, Marly, Calle 72, Calle 100, Portal Norte.
C15;Portal Tunal;Portal Suba;Portal Tunal, Parque, Biblioteca, Santa Lucía, Quiroga, Olaya, Fucha, Restrepo, Hortúa, Hospitales, Tercer Milenio, Av. Jiménez, Calle 19, Calle 22, Calle 26, Profamilia, Calle 39, Calle 45, Marly, Calle 57, Calle 63, Calle 72, Flores, Calle 76, Héroes, Polo, San Martín, Rionegro, Av. Suba - Calle 95, Av. Suba - Calle 100, Puentelargo, Humedal Córdoba, Av. Suba - Calle 116, Shaio, Niza 127, Gratamira, 21 Ángeles, Suba - Av. Boyacá, Suba - TV 91, La Campiña, Portal Suba.
C17;Portal 20 Julio;Portal Suba;Portal 20 de Julio, Av. 1 de Mayo, Ciudad Jardín, San Cristóbal, San Blas, Policarpa, San Bernardo, Bicentenario, San Victorino, Las Nieves, Calle 19, Calle 22, Calle 26, Profamilia, Calle 39, Calle 45, Marly, Calle 57, Calle 63, Calle 72, Flores, Calle 76, Héroes, Polo, San Martín, Rionegro, Av. Suba - Calle 95, Av. Suba - Calle 100, Puentelargo, Humedal Córdoba, Av. Suba - Calle 116, Shaio, Niza 127, Gratamira, 21 Ángeles, Suba - Av. Boyacá, Suba - TV 91, La Campiña, Portal Suba.
C19;Banderas;Portal Suba;Banderas, Mandalay, Américas - Av. Boyacá, Marsella, Pradera, Distrito Grafiti, Puente Aranda, Carrera 43, Zona Industrial, CDS - Carrera 32, Ricaurte, Sans Façon - Carrera 22, De La Sabana, Av. Jiménez, Calle 19, Calle 22, Calle 26, Profamilia, Calle 39, Calle 45, Marly, Calle 57, Calle 63, Calle 72, Flores, Calle 76, Héroes, Polo, San Martín, Rionegro, Av. Suba - Calle 95, Av. Suba - Calle 100, Puentelargo, Humedal Córdoba, Av. Suba - Calle 116, Shaio, Niza 127, Gratamira, 21 Ángeles, Suba - Av. Boyacá, Suba - TV 91, La Campiña, Portal Suba.
C25;Portal Usme;Portal Suba;Portal Usme, Molinos, Consuelo, Socorro, Santa Lucía, Calle 40 Sur, Quiroga, Olaya, Fucha, Restrepo, Hortúa, Hospitales, Tercer Milenio, Av. Jiménez, Calle 19, Calle 22, Calle 26, Profamilia, Calle 39, Calle 45, Marly, Calle 57, Calle 63, Calle 72, Flores, Calle 76, Héroes, Polo, San Martín, Rionegro, Av. Suba - Calle 95, Av. Suba - Calle 100, Puentelargo, Humedal Córdoba, Av. Suba - Calle 116, Shaio, Niza 127, Gratamira, 21 Ángeles, Suba - Av. Boyacá, Suba - TV 91, La Campiña, Portal Suba.
C30;Portal Sur;Portal Suba;Portal Sur, Perdomo, Madelena, Venecia, Sevillana, General Santander, NQS - Calle 38 Sur, NQS - Calle 30 Sur, Sena, Comuneros, Santa Isabel, Ricaurte, Paloquemao, CAD, Av. Dorado, Universidad Nacional, Campín - UAN, 7 de Agosto, Movistar Arena, NQS - Calle 75, Rionegro, Av. Suba - Calle 95, Av. Suba - Calle 100, Puentelargo, Humedal Córdoba, Av. Suba - Calle 116, Shaio, Niza 127, Gratamira, 21 Ángeles, Suba - Av. Boyacá, Suba - TV 91, La Campiña, Portal Suba.
C73;Universidades;Portal Suba;Universidades, Calle 22, Calle 26, Profamilia, Calle 39, Calle 45, Marly, Calle 57, Calle 63, Calle 72, Flores, Calle 76, Héroes, Polo, San Martín, Rionegro, Av. Suba - Calle 95, Av. Suba - Calle 100, Puentelargo, Humedal Córdoba, Av. Suba - Calle 116, Shaio, Niza 127, Gratamira, 21 Ángeles, Suba - Av. Boyacá, Suba - TV 91, La Campiña, Portal Suba.
C84;Museo Nacional;Portal Suba;Museo Nacional, Calle 26, Profamilia, Calle 39, Calle 45, Marly, Calle 57, Calle 63, Calle 72, Calle 76, Héroes, Polo, San Martín, Rionegro, Av. Suba - Calle 95, Av. Suba - Calle 100, Puentelargo, Humedal Córdoba, Av. Suba - Calle 116, Shaio, Niza 127, Gratamira, 21 Ángeles, Suba - Av. Boyacá, Suba - TV 91, La Campiña, Portal Suba.
D10;Portal Norte;Portal 80;Portal Norte, Toberín, Mazurén, Calle 146, Calle 142, Alcalá, Prado, Calle 127, Pepe Sierra, Calle 106, Calle 100, La Castellana, NQS - Calle 75, Escuela Militar, Polo, Carrera 47, Carrera 53, Av. 68, Ferias, Boyacá, Minuto de Dios, Granja - Cra 77, Avenida Cali, Carrera 90, Quirigua, Portal 80.
D20;Portal Usme;Portal 80;Portal Usme, Molinos, Consuelo, Socorro, Santa Lucía, Calle 40 Sur, Quiroga, Olaya, Fucha, Restrepo, Hortúa, Hospitales, Tercer Milenio, Av. Jiménez, Calle 19, Calle 22, Calle 26, Profamilia, Calle 39, Calle 45, Marly, Calle 57, Calle 63, Calle 72, Flores, Calle 76, Héroes, Polo, Escuela Militar, Carrera 47, Carrera 53, Av. 68, Ferias, Avenida Boyacá, Avenida Rojas, Minuto de Dios, Granja - Cra 77, Avenida Cali, Carrera 90, Quirigua, Portal 80.
D21;Portal Tunal;Portal 80;Portal Tunal, Parque, Biblioteca, Santa Lucía, Quiroga, Olaya, Fucha, Restrepo, Hortúa, Hospitales, Tercer Milenio, Av. Jiménez, Calle 19, Calle 22, Calle 26, Profamilia, Calle 39, Calle 45, Marly, Calle 57, Calle 63, Calle 72, Flores, Calle 76, Héroes, Polo, Escuela Militar, Carrera 47, Carrera 53, Av. 68, Ferias, Avenida Boyacá, Avenida Rojas, Minuto de Dios, Granja - Cra 77, Avenida Cali, Carrera 90, Quirigua, Portal 80.
D22;Portal Sur;Portal 80;Portal Sur, Perdomo, Madelena, Venecia, Sevillana, General Santander, NQS - Calle 38 Sur, NQS - Calle 30 Sur, Sena, Comuneros, Santa Isabel, Ricaurte, Paloquemao, CAD, Av. Dorado, Universidad Nacional, Campín - UAN, 7 de Agosto, Movistar Arena, NQS - Calle 75, Escuela Militar, Carrera 47, Carrera 53, Av. 68, Ferias, Avenida Boyacá, Avenida Rojas, Minuto de Dios, Granja - Cra 77, Avenida Cali, Carrera 90, Quirigua, Portal 80.
D24;Universidades;Portal 80;Universidades, Las Aguas, Museo del Oro, Av. Jiménez, Calle 19, Calle 22, Calle 26, Profamilia, Calle 39, Calle 45, Marly, Calle 57, Calle 63, Calle 72, Flores, Calle 76, Héroes, Polo, Escuela Militar, Carrera 47, Carrera 53, Av. 68, Ferias, Avenida Boyacá, Avenida Rojas, Minuto de Dios, Granja - Cra 77, Avenida Cali, Carrera 90, Quirigua, Portal 80.
E32;Portal Suba;P. Américas;Portal Suba, La Campiña, Suba - TV 91, 21 Ángeles, Av. Suba - Calle 100, Rionegro, San Martín, NQS - Calle 75, Ricaurte, CDS - Carrera 32, Puente Aranda, Pradera, Marsella, Américas - Av. Boyacá, Banderas, Portal Américas. 
E42;Portal 80;G. Santander;Portal 80, Quirigua, Granja - Cra 77, Av. 68, Ferias, Escuela Militar, San Martín, Rionegro, Av. Suba - Calle 95, Av. Suba - Calle 100, Puentelargo, Humedal Córdoba, Niza 127, 21 Ángeles, Movistar Arena, 7 de Agosto, Campín - UAN, Universidad Nacional, Av. Dorado, CAD, Paloquemao, Ricaurte, Santa Isabel, Comuneros, Sena, NQS - Calle 30 Sur, NQS - Calle 38 Sur, General Santander. 
F14;Portal Norte;P. Américas;Portal Norte, Toberín, Mazurén, Calle 146, Calle 142, Alcalá, Prado, Calle 127, Pepe Sierra, Calle 106, Calle 100, Virrey, Calle 85, Héroes, Calle 76, Calle 72, Flores, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Calle 22, Calle 19, Av. Jiménez, De La Sabana, Sans Façon - Carrera 22, Ricaurte, CDS - Carrera 32, Zona Industrial, Carrera 43, Puente Aranda, Distrito Grafiti, Pradera, Marsella, Américas - Av. Boyacá, Mandalay, Banderas, Transversal 86, Biblioteca Tintal, Patio Bonito, Portal Américas. 
F19;Portal Suba;P. Américas;Portal Suba, La Campiña, Suba - TV 91, Suba - Av. Boyacá, 21 Ángeles, Gratamira, Niza 127, Shaio, Av. Suba - Calle 116, Humedal Córdoba, Puentelargo, Av. Suba - Calle 100, Av. Suba - Calle 95, Rionegro, San Martín, Polo, Héroes, Calle 76, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Calle 22, Calle 19, Av. Jiménez, De La Sabana, Sans Façon - Carrera 22, Ricaurte, CDS - Carrera 32, Zona Industrial, Carrera 43, Puente Aranda, Distrito Grafiti, Pradera, Marsella, Américas - Av. Boyacá, Mandalay, Banderas, Transversal 86, Biblioteca Tintal, Patio Bonito, Portal Américas. 
F23;Portal Suba;P. Américas;Portal Suba, 21 Ángeles, Niza 127, Humedal Córdoba, Av. Suba - Calle 116, Puentelargo, Av. Suba - Calle 100, Av. Suba - Calle 95, Rionegro, San Martín, Paloquemao, Ricaurte, CDS - Carrera 32, Zona Industrial, Carrera 43, Puente Aranda, Distrito Grafiti, Pradera, Marsella, Américas - Av. Boyacá, Mandalay, Banderas, Transversal 86, Biblioteca Tintal, Patio Bonito, Portal Américas. F28;Portal Norte;P. Américas;Portal Norte, Calle 100, La Castellana, NQS - Calle 75, Av. Chile, Ricaurte, CDS - Carrera 32, Puente Aranda, Marsella, Banderas, Portal Américas. 
F32;Portal Norte;P. Américas;Portal Norte, Calle 127, Calle 100, La Castellana, NQS - Calle 75, Ricaurte, Zona Industrial, Puente Aranda, Banderas, Portal Américas. 
F51;Portal Norte;P. Américas;Portal Norte, Toberín, Calle 100, Calle 85, Calle 76, Calle 26, Ricaurte, Distrito Grafiti, Banderas, Portal Américas. 
F60;Calle 76;P. Américas;Calle 76, Calle 72, Flores, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Calle 22, Calle 19, Av. Jiménez, De La Sabana, Sans Façon - Carrera 22, Ricaurte, CDS - Carrera 32, Zona Industrial, Carrera 43, Puente Aranda, Distrito Grafiti, Pradera, Marsella, Américas - Av. Boyacá, Mandalay, Banderas, Transversal 86, Biblioteca Tintal, Patio Bonito, Portal Américas. 
G11;Portal Norte;Portal Sur;Portal Norte, Toberín, Mazurén, Calle 146, Calle 142, Alcalá, Prado, Calle 127, Pepe Sierra, Calle 106, Calle 100, Virrey, Calle 85, Flores, Calle 72, Calle 63, Calle 57, Marly, Calle 19, Av. Jiménez, Guatoque - Veraguas, Ricaurte, Comuneros, NQS - Calle 38 Sur, General Santander, Sevillana, Venecia, Madelena, Perdomo, Portal Sur. 
G12;Portal Norte;Portal Sur;Portal Norte, Toberín, Mazurén, Calle 146, Calle 142, Alcalá, Prado, Calle 127, Pepe Sierra, Calle 106, Calle 100, La Castellana, NQS - Calle 75, Movistar Arena, 7 de Agosto, Campín - UAN, Universidad Nacional, Av. Dorado, CAD, Paloquemao, Ricaurte, Santa Isabel, Comuneros, Sena, NQS - Calle 30 Sur, NQS - Calle 38 Sur, General Santander, Venecia, Sevillana, Madelena, Perdomo, Portal Sur. 
G22;Portal 80;Portal Sur;Portal 80, Quirigua, Carrera 90, Av. Cali, Granja - Cra 77, Av. Rojas, Av. Boyacá, Ferias, Av. 68, Carrera 53, Carrera 47, Escuela Militar, NQS - Calle 75, Movistar Arena, 7 de Agosto, Campín - UAN, Universidad Nacional, Av. Dorado, CAD, Paloquemao, Ricaurte, Santa Isabel, Comuneros, Sena, NQS - Calle 30 Sur, NQS - Calle 38 Sur, General Santander, Venecia, Sevillana, Madelena, Perdomo, Portal Sur. 
G28;Portal Norte;Portal Sur;Portal Norte, Toberín, Mazurén, Calle 146, Calle 142, Alcalá, Prado, Calle 127, Pepe Sierra, Calle 106, Calle 100, La Castellana, NQS - Calle 75, Movistar Arena, 7 de Agosto, Campín - UAN, Universidad Nacional, Av. Dorado, CAD, Paloquemao, Ricaurte, Santa Isabel, Comuneros, Sena, NQS - Calle 30 Sur, NQS - Calle 38 Sur, General Santander, Sevillana, Venecia, Madelena, Perdomo, Portal Sur. 
G30;Portal Suba;Portal Sur;Portal Suba, La Campiña, Suba - TV 91, Suba - Av. Boyacá, 21 Ángeles, Gratamira, Niza 127, Shaio, Av. Suba - Calle 116, Humedal Córdoba, Puentelargo, Av. Suba - Calle 100, Av. Suba - Calle 95, Rionegro, NQS - Calle 75, Movistar Arena, 7 de Agosto, Campín - UAN, Universidad Nacional, Av. Dorado, CAD, Paloquemao, Ricaurte, Santa Isabel, Comuneros, Sena, NQS - Calle 30 Sur, NQS - Calle 38 Sur, General Santander, Venecia, Sevillana, Madelena, Perdomo, Portal Sur. 
G41;Bicentenario;San Mateo;Bicentenario, San Bernardo, Policarpa, San Victorino, San Diego, Las Nieves, Calle 19, Av. Jiménez, Guatoque - Veraguas, Sans Façon - Carrera 22, De La Sabana, Ricaurte, Santa Isabel, Comuneros, Sena, NQS - Calle 30 Sur, NQS - Calle 38 Sur, General Santander, Venecia, Sevillana, Madelena, Perdomo, Portal Sur, Bosa, La Despensa, León XIII, Terreros - Hospital CV, San Mateo. 
G42;Portal 80;G. Santander;Portal 80, Quirigua, Carrera 90, Av. Cali, Granja - Cra 77, Av. Rojas, Av. Boyacá, Ferias, Av. 68, Carrera 53, Carrera 47, Escuela Militar, NQS - Calle 75, Movistar Arena, 7 de Agosto, Campín - UAN, Universidad Nacional, Av. Dorado, CAD, Paloquemao, Ricaurte, Santa Isabel, Comuneros, Sena, NQS - Calle 30 Sur, NQS - Calle 38 Sur, General Santander. 
G43;Portal Suba;San Mateo;Portal Suba, 21 Ángeles, Niza 127, Humedal Córdoba, Av. Suba - Calle 116, Puentelargo, Av. Suba - Calle 100, Av. Suba - Calle 95, Rionegro, San Martín, NQS - Calle 75, Movistar Arena, 7 de Agosto, Campín - UAN, Universidad Nacional, Av. Dorado, CAD, Paloquemao, Ricaurte, Santa Isabel, Comuneros, Sena, NQS - Calle 30 Sur, NQS - Calle 38 Sur, General Santander, Venecia, Sevillana, Madelena, Perdomo, Portal Sur, Bosa, La Despensa, León XIII, Terreros - Hospital CV, San Mateo. 
G44;Portal Norte;Portal Sur;Portal Norte, Calle 100, La Castellana, NQS - Calle 75, Universidad Nacional, CAD, Paloquemao, Ricaurte, General Santander, Portal Sur. 
G45;Portal Sur;San Mateo;Portal Sur, Bosa, La Despensa, León XIII, Terreros - Hospital CV, San Mateo. 
G46;Portal Norte;San Mateo;Portal Norte, Calle 100, Calle 72, Marly, Calle 26, Ricaurte, General Santander, Portal Sur, Bosa, La Despensa, León XIII, Terreros - Hospital CV, San Mateo.
G47;Portal 20 Julio;San Mateo;Portal 20 de Julio, Country Sur, Av. 1 de Mayo, Ciudad Jardín, San Cristóbal, San Blas, Policarpa, San Bernardo, Bicentenario, San Victorino, Las Nieves, San Diego, Centro Memoria, Concejo de Bogotá, Ciudad Universitaria, Corferias, Quinta Paredes, Gobernación, CAN, Salitre - El Greco, El Tiempo - Maloka, Avenida Rojas, Normandía, Modelia, Portal El Dorado, Ricaurte, Santa Isabel, Comuneros, Sena, NQS - Calle 30 Sur, NQS - Calle 38 Sur, General Santander, Venecia, Sevillana, Madelena, Perdomo, Portal Sur, Bosa, La Despensa, León XIII, Terreros - Hospital CV, San Mateo. 
H13;Portal Norte;Portal Tunal;Portal Norte, Toberín, Mazurén, Calle 146, Calle 142, Alcalá, Prado, Calle 127, Pepe Sierra, Calle 106, Calle 100, Virrey, Calle 85, Héroes, Calle 76, Flores, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Calle 22, Calle 19, Av. Jiménez, Tercer Milenio, Hospitales, Hortúa, Fucha, Restrepo, Olaya, Quiroga, Calle 40 Sur, Santa Lucía, Biblioteca, Parque, Portal Tunal. 
H15;Portal Suba;Portal Tunal;Portal Suba, 21 Ángeles, Niza 127, Humedal Córdoba, Av. Suba - Calle 116, Puentelargo, Av. Suba - Calle 100, Av. Suba - Calle 95, Rionegro, San Martín, Polo, Escuela Militar, Flores, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Calle 22, Calle 19, Av. Jiménez, Tercer Milenio, Hospitales, Hortúa, Fucha, Restrepo, Olaya, Quiroga, Calle 40 Sur, Santa Lucía, Biblioteca, Parque, Portal Tunal. 
H17;Portal Suba;Portal Usme;Portal Suba, La Campiña, Suba - TV 91, Suba - Av. Boyacá, 21 Ángeles, Gratamira, Niza 127, Shaio, Av. Suba - Calle 116, Humedal Córdoba, Puentelargo, Av. Suba - Calle 100, Av. Suba - Calle 95, Rionegro, San Martín, Polo, Héroes, Calle 76, Flores, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Calle 22, Calle 19, Av. Jiménez, Tercer Milenio, Hospitales, Hortúa, Fucha, Restrepo, Olaya, Quiroga, Calle 40 Sur, Santa Lucía, Socorro, Consuelo, Molinos, Portal Usme. 
H20;Portal 80;Portal Usme;Portal 80, Quirigua, Carrera 90, Av. Cali, Granja - Cra 77, Av. Rojas, Av. Boyacá, Ferias, Av. 68, Carrera 53, Carrera 47, Escuela Militar, Polo, Flores, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Calle 22, Calle 19, Av. Jiménez, Tercer Milenio, Hospitales, Hortúa, Fucha, Restrepo, Olaya, Quiroga, Calle 40 Sur, Santa Lucía, Socorro, Consuelo, Molinos, Portal Usme. 
H21;Portal 80;Portal Tunal;Portal 80, Quirigua, Carrera 90, Av. Cali, Granja - Cra 77, Av. Rojas, Av. Boyacá, Ferias, Av. 68, Carrera 53, Carrera 47, Escuela Militar, Polo, Flores, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Calle 22, Calle 19, Av. Jiménez, Tercer Milenio, Hospitales, Hortúa, Fucha, Restrepo, Olaya, Quiroga, Calle 40 Sur, Santa Lucía, Biblioteca, Parque, Portal Tunal. 
H27;Portal Norte;Portal Usme;Portal Norte, Toberín, Mazurén, Calle 146, Calle 142, Alcalá, Prado, Calle 127, Pepe Sierra, Calle 106, Calle 100, Virrey, Calle 85, Héroes, Calle 76, Flores, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Calle 22, Calle 19, Av. Jiménez, Tercer Milenio, Hospitales, Hortúa, Fucha, Restrepo, Olaya, Quiroga, Calle 40 Sur, Santa Lucía, Socorro, Consuelo, Molinos, Portal Usme. 
H54;Portal Suba;Portal Usme;Portal Suba, La Campiña, Suba - TV 91, Suba - Av. Boyacá, 21 Ángeles, Gratamira, Niza 127, Shaio, Av. Suba - Calle 116, Humedal Córdoba, Puentelargo, Av. Suba - Calle 100, Av. Suba - Calle 95, Rionegro, San Martín, Polo, Héroes, Calle 76, Flores, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Calle 22, Calle 19, Av. Jiménez, Tercer Milenio, Hospitales, Hortúa, Fucha, Restrepo, Olaya, Quiroga, Calle 40 Sur, Santa Lucía, Socorro, Consuelo, Molinos, Portal Usme. 
H72;Portal Norte;Portal Usme;Portal Norte, Toberín, Mazurén, Calle 146, Calle 142, Alcalá, Prado, Calle 127, Pepe Sierra, Calle 106, Calle 100, Virrey, Calle 85, Héroes, Calle 76, Flores, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Calle 22, Calle 19, Av. Jiménez, Tercer Milenio, Hospitales, Hortúa, Fucha, Restrepo, Olaya, Quiroga, Calle 40 Sur, Santa Lucía, Socorro, Consuelo, Molinos, Portal Usme. 
H73;Portal Norte;Portal Tunal;Portal Norte, Toberín, Mazurén, Calle 146, Calle 142, Alcalá, Prado, Calle 127, Pepe Sierra, Calle 106, Calle 100, Virrey, Calle 85, Héroes, Calle 76, Flores, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Calle 22, Calle 19, Av. Jiménez, Tercer Milenio, Hospitales, Hortúa, Fucha, Restrepo, Olaya, Quiroga, Calle 40 Sur, Santa Lucía, Biblioteca, Parque, Portal Tunal. 
H75;Portal Norte;Portal Usme;Portal Norte, Toberín, Mazurén, Calle 146, Calle 142, Alcalá, Prado, Calle 127, Pepe Sierra, Calle 106, Calle 100, Virrey, Calle 85, Héroes, Calle 76, Flores, Calle 72, Calle 63, Calle 57, Marly, Calle 45, Calle 39, Profamilia, Calle 26, Calle 22, Calle 19, Av. Jiménez, Tercer Milenio, Hospitales, Hortúa, Fucha, Restrepo, Olaya, Quiroga, Calle 40 Sur, Santa Lucía, Socorro, Consuelo, Molinos, Portal Usme.
J23;Portal Américas;Las Aguas;Portal Américas, Patio Bonito, Biblioteca Tintal, Transversal 86, Banderas, Mandalay, Américas - Av. Boyacá, Marsella, Pradera, Distrito Grafiti, Puente Aranda, Carrera 43, Zona Industrial, CDS - Carrera 32, Ricaurte, Sans Façon - Carrera 22, De La Sabana, Av. Jiménez, Museo del Oro, Las Aguas. 
